item_no	file_name	image_name	name_line1	name_line2	tab_no	size
1	fv_f_anar.jpg	fv_f_anar	Pomegranate	Anar	2	1
2	fv_f_apple_american.jpg	fv_f_apple_american	Apple	American	2	1.3
3	fv_f_apple_chaubattiya_anupam.jpg	fv_f_apple_chaubattiya_anupam	Apple	Chaubattiya Anupam	2	1
4	fv_f_apple_chinese.jpg	fv_f_apple_chinese	Apple	Chinese	2	1
5	fv_f_apple_golden.jpg	fv_f_apple_golden	Apple	Golden	2	1
6	fv_f_apple_green.jpg	fv_f_apple_green	Apple	Green	2	1
7	fv_f_apple_kinnaur.jpg	fv_f_apple_kinnaur	Apple	Kinnaur	2	1
8	fv_f_apple_lal_ambri.jpg	fv_f_apple_lal_ambri	Apple	Lalambri	2	1
9	fv_f_apple_mcintosh.jpg	fv_f_apple_mcintosh	Apple	Mcintosh	2	1
10	fv_f_apricot.jpg	fv_f_apricot	Apricot		3	1
11	fv_f_avocado.jpg	fv_f_avocado	Avocado		2	1.5
12	fv_f_banana.jpg	fv_f_banana	Banana		1	2
13	fv_f_banana_red.jpg	fv_f_banana_red	Banana	Red	2	1
14	fv_f_banana_small.jpg	fv_f_banana_small	Banana	Small	3	1
15	fv_f_bel.jpg	fv_f_bel	Bel		1	2
16	fv_f_ber.jpg	fv_f_ber	Ber		3	1.2
17	fv_f_chiku.jpg	fv_f_chiku	Chiku		3	1
18	fv_f_coconut.jpg	fv_f_coconut	Coconut		1	1.8
19	fv_f_dab.jpg	fv_f_dab	Dab		1	2
20	fv_f_dates.jpg	fv_f_dates	Dates		3	1
21	fv_f_gooseberry_cape.jpg	fv_f_gooseberry_cape	Gooseberry Cape	Rasbhari	3	1.5
22	fv_f_grapefruit.jpg	fv_f_grapefruit	Grape Fruit		2	2
23	fv_f_grapes_black.jpg	fv_f_grapes_black	Grapes	Black	3	1.5
24	fv_f_grapes_green.jpg	fv_f_grapes_green	Grapes	Green	3	1.5
25	fv_f_grapes_red.jpg	fv_f_grapes_red	Grapes	Red - Small	3	1.5
26	fv_f_grapes_red_big.jpg	fv_f_grapes_red_big	Grapes	Red - Big	3	1
27	fv_f_guava.jpg	fv_f_guava	Guava		2	0.9
28	fv_f_keenu_orange.jpg	fv_f_keenu_orange	Keenu Orange		2	1.6
29	fv_f_kiwi.jpg	fv_f_kiwi	Kiwi		3	1
30	fv_f_litchi.jpg	fv_f_litchi	Litchi		3	0.7
31	fv_f_mango_alphonso_ratnagiri.jpg	fv_f_mango_alphonso_ratnagiri	Mango	Alphonso Ratnagiri	1	1
32	fv_f_mango_badami_karnataka.jpg	fv_f_mango_badami_karnataka	Mango	Badami Karnataka	1	1
33	fv_f_mango_chausa.jpg	fv_f_mango_chausa	Mango	Chausa	1	1.6
34	fv_f_mango_dusheri.jpg	fv_f_mango_dusheri	Mango	Dusheri	1	2
