farmer_id,food,A,B,C,transport,date_harvest,date_delivery,item_details_tbl.price_q1/*uts{kg/pc/bndl/pkt},item_details_tbl.qty_slab_no,*uts,cost,
1,94,940,800,210,0,2018/08/14 11:00,2018/08/20 04:00,100,1,0.1,95000,
1,143,9600,6100,4600,1,2018/08/15 19:00,2018/08/21 12:00,60,0,1,555000,
1,88,4600,2600,1400,0,2018/08/05 08:00,2018/08/12 06:00,30,0,1,121000,
1,159,9900,3500,2700,0,2018/07/27 09:00,2018/08/01 12:00,25,0,1,198000,
1,155,5000,6400,9400,1,2018/08/06 03:00,2018/08/11 17:00,25,0,1,201000,
2,72,200,10000,5500,0,2018/07/04 02:00,2018/07/10 12:00,45,0,1,258000,
2,90,7400,2200,2500,1,2018/07/17 15:00,2018/07/23 20:00,20,5,1,119000,
2,167,8100,400,2700,0,2018/07/14 09:00,2018/07/18 11:00,40,0,1,221000,
2,121,3700,700,8200,1,2018/07/10 00:00,2018/07/16 06:00,50,0,1,222000,
3,55,850,150,300,0,2018/07/25 13:00,2018/07/30 14:00,60,4,1,37000,
3,21,975,1800,150,1,2018/07/13 09:00,2018/07/18 19:00,50,6,1,71000,
3,79,9500,9700,5400,1,2018/08/08 05:00,2018/08/13 03:00,20,0,1,219000,
3,9,5400,5900,2100,0,2018/07/26 01:00,2018/07/31 07:00,110,0,1,694000,
3,180,3200,3300,2200,0,2018/08/08 06:00,2018/08/12 19:00,40,0,1,157000,
3,160,700,9100,500,1,2018/08/09 21:00,2018/08/16 15:00,25,0,1,114000,
4,58,9500,5300,900,1,2018/08/12 14:00,2018/08/17 17:00,120,2,0.25,976000,
4,72,2600,6800,700,1,2018/08/10 15:00,2018/08/15 10:00,45,0,1,205000,
4,148,6200,1100,7900,0,2018/07/27 23:00,2018/08/02 04:00,80,2,0.25,471000,
4,138,300,6200,4300,1,2018/07/09 05:00,2018/07/15 03:00,60,0,1,231000,
5,9,2400,4900,500,0,2018/08/03 07:00,2018/08/07 11:00,110,0,1,409000,
5,19,9400,3700,6000,1,2018/07/07 22:00,2018/07/14 08:00,35,4,1,295000,
5,61,5000,6900,6000,1,2018/07/30 12:00,2018/08/03 15:00,160,2,0.25,1149000,
5,97,200,975,1150,0,2018/07/18 20:00,2018/07/25 05:00,200,1,0.1,162000,
6,6,6000,4500,6300,0,2018/08/05 05:00,2018/08/10 23:00,140,0,1,975000,
6,52,8900,7400,3500,1,2018/07/13 06:00,2018/07/17 16:00,180,0,1,1678000,
6,46,2800,8800,600,0,2018/07/24 10:00,2018/07/30 23:00,40,0,1,227000,
6,127,1300,6600,5400,1,2018/07/15 21:00,2018/07/22 03:00,40,0,1,201000,
6,109,7400,2000,6200,1,2018/07/17 17:00,2018/07/23 18:00,40,0,1,262000,
7,8,800,2500,9800,0,2018/07/23 13:00,2018/07/27 21:00,90,0,1,338000,
7,154,5000,800,9800,0,2018/08/13 10:00,2018/08/17 13:00,30,0,1,166000,
7,130,2900,7400,400,0,2018/07/04 11:00,2018/07/10 01:00,40,0,1,200000,
7,104,2000,6900,8200,1,2018/08/17 22:00,2018/08/23 04:00,10,0,1,59000,
7,175,1200,5300,8300,1,2018/08/16 17:00,2018/08/23 14:00,50,0,1,243000,
8,55,375,675,25,0,2018/07/29 21:00,2018/08/04 20:00,60,4,1,31000,
8,111,1350,225,1200,0,2018/07/10 03:00,2018/07/15 01:00,120,2,0.25,142000,
8,150,6600,9700,3700,1,2018/07/14 05:00,2018/07/20 02:00,40,0,1,361000,
8,179,8500,1200,200,0,2018/07/29 20:00,2018/08/04 19:00,50,0,1,283000,
9,48,2600,8100,2900,0,2018/07/13 11:00,2018/07/19 17:00,100,0,1,579000,
9,84,4700,5800,4800,0,2018/08/05 11:00,2018/08/10 16:00,30,0,1,190000,
9,20,3700,6200,200,1,2018/07/23 04:00,2018/07/28 11:00,150,4,1,723000,
10,121,7400,9700,7600,1,2018/08/15 03:00,2018/08/20 14:00,50,0,1,526000,
10,26,2500,5800,5900,1,2018/08/17 23:00,2018/08/24 21:00,280,0,1,1514000,
10,149,7200,5800,8800,1,2018/07/11 10:00,2018/07/16 19:00,50,0,1,443000,
10,59,4100,9600,9800,1,2018/08/15 11:00,2018/08/21 05:00,40,0,1,347000,
10,32,7100,6000,5500,1,2018/08/03 11:00,2018/08/09 17:00,60,0,1,479000,
11,159,8600,9300,1600,0,2018/07/27 11:00,2018/08/03 04:00,25,0,1,233000,
11,26,1700,600,5700,0,2018/07/29 14:00,2018/08/05 08:00,280,0,1,723000,
11,61,2900,6900,4400,1,2018/07/22 23:00,2018/07/27 10:00,160,2,0.25,911000,
12,161,4500,3300,8000,0,2018/07/05 00:00,2018/07/11 14:00,30,5,1,179000,
12,42,1600,1800,7100,1,2018/07/29 00:00,2018/08/03 10:00,70,0,1,236000,
12,106,3100,2500,6300,0,2018/07/25 07:00,2018/07/30 19:00,20,0,1,89000,
12,47,6200,7800,7500,0,2018/07/04 21:00,2018/07/10 22:00,70,0,1,623000,
12,150,5800,6900,6400,1,2018/08/13 23:00,2018/08/18 00:00,40,0,1,315000,
13,170,900,1125,1050,0,2018/08/05 17:00,2018/08/11 14:00,20,0,1,24000,
13,168,7800,9200,3000,1,2018/08/16 17:00,2018/08/21 07:00,25,0,1,236000,
13,156,5300,3500,4900,1,2018/07/08 16:00,2018/07/15 16:00,30,0,1,174000,
13,34,5200,5800,9400,0,2018/08/13 12:00,2018/08/17 21:00,80,0,1,632000,
14,176,400,700,1500,0,2018/07/13 13:00,2018/07/18 03:00,40,0,1,35000,
14,59,3700,4300,4100,1,2018/08/07 20:00,2018/08/13 09:00,40,0,1,199000,
14,85,4800,2500,4800,0,2018/07/26 07:00,2018/07/31 01:00,30,0,1,152000,
15,126,3000,7100,1200,1,2018/07/07 14:00,2018/07/13 12:00,30,0,1,150000,
15,72,3400,9500,3800,0,2018/07/04 10:00,2018/07/10 19:00,45,0,1,310000,
15,112,675,650,1700,1,2018/07/05 01:00,2018/07/09 17:00,240,2,0.25,257000,
16,62,7200,9400,3300,1,2018/07/14 16:00,2018/07/20 16:00,30,0,1,270000,
16,131,700,3800,7200,0,2018/07/28 08:00,2018/08/03 17:00,50,0,1,189000,
