orderid,farmer_id,food,Cost,transport,A,B,C,date_harvest,date_deliver,image_path,pre_img_val,rank_in_q
1,1,94,95000,0,940,800,210,2018-08-14 11:00:00,2018-08-20 04:00:00,NULL,NULL,NULL
2,1,143,555000,1,9600,6100,4600,2018-08-15 19:00:00,2018-08-21 12:00:00,NULL,NULL,NULL
3,1,88,121000,0,4600,2600,1400,2018-08-05 08:00:00,2018-08-12 06:00:00,NULL,NULL,NULL
4,1,159,198000,0,9900,3500,2700,2018-07-27 09:00:00,2018-08-01 12:00:00,NULL,NULL,NULL
5,1,155,201000,1,5000,6400,9400,2018-08-06 03:00:00,2018-08-11 17:00:00,NULL,NULL,NULL
6,2,72,258000,0,200,10000,5500,2018-07-04 02:00:00,2018-07-10 12:00:00,NULL,NULL,NULL
7,2,90,119000,1,7400,2200,2500,2018-07-17 15:00:00,2018-07-23 20:00:00,NULL,NULL,NULL
8,2,167,221000,0,8100,400,2700,2018-07-14 09:00:00,2018-07-18 11:00:00,NULL,NULL,NULL
9,2,121,222000,1,3700,700,8200,2018-07-10 00:00:00,2018-07-16 06:00:00,NULL,NULL,NULL
10,3,55,37000,0,850,150,300,2018-07-25 13:00:00,2018-07-30 14:00:00,NULL,NULL,NULL
11,3,21,71000,1,975,1800,150,2018-07-13 09:00:00,2018-07-18 19:00:00,NULL,NULL,NULL
12,3,79,219000,1,9500,9700,5400,2018-08-08 05:00:00,2018-08-13 03:00:00,NULL,NULL,NULL
13,3,9,694000,0,5400,5900,2100,2018-07-26 01:00:00,2018-07-31 07:00:00,NULL,NULL,NULL
14,3,180,157000,0,3200,3300,2200,2018-08-08 06:00:00,2018-08-12 19:00:00,NULL,NULL,NULL
15,3,160,114000,1,700,9100,500,2018-08-09 21:00:00,2018-08-16 15:00:00,NULL,NULL,NULL
16,4,58,976000,1,9500,5300,900,2018-08-12 14:00:00,2018-08-17 17:00:00,NULL,NULL,NULL
17,4,72,205000,1,2600,6800,700,2018-08-10 15:00:00,2018-08-15 10:00:00,NULL,NULL,NULL
18,4,148,471000,0,6200,1100,7900,2018-07-27 23:00:00,2018-08-02 04:00:00,NULL,NULL,NULL
19,4,138,231000,1,300,6200,4300,2018-07-09 05:00:00,2018-07-15 03:00:00,NULL,NULL,NULL
20,5,9,409000,0,2400,4900,500,2018-08-03 07:00:00,2018-08-07 11:00:00,NULL,NULL,NULL
21,5,19,295000,1,9400,3700,6000,2018-07-07 22:00:00,2018-07-14 08:00:00,NULL,NULL,NULL
22,5,61,1149000,1,5000,6900,6000,2018-07-30 12:00:00,2018-08-03 15:00:00,NULL,NULL,NULL
23,5,97,162000,0,200,975,1150,2018-07-18 20:00:00,2018-07-25 05:00:00,NULL,NULL,NULL
24,6,6,975000,0,6000,4500,6300,2018-08-05 05:00:00,2018-08-10 23:00:00,NULL,NULL,NULL
25,6,52,1678000,1,8900,7400,3500,2018-07-13 06:00:00,2018-07-17 16:00:00,NULL,NULL,NULL
26,6,46,227000,0,2800,8800,600,2018-07-24 10:00:00,2018-07-30 23:00:00,NULL,NULL,NULL
27,6,127,201000,1,1300,6600,5400,2018-07-15 21:00:00,2018-07-22 03:00:00,NULL,NULL,NULL
28,6,109,262000,1,7400,2000,6200,2018-07-17 17:00:00,2018-07-23 18:00:00,NULL,NULL,NULL
29,7,8,338000,0,800,2500,9800,2018-07-23 13:00:00,2018-07-27 21:00:00,NULL,NULL,NULL
30,7,154,166000,0,5000,800,9800,2018-08-13 10:00:00,2018-08-17 13:00:00,NULL,NULL,NULL
31,7,130,200000,0,2900,7400,400,2018-07-04 11:00:00,2018-07-10 01:00:00,NULL,NULL,NULL
32,7,104,59000,1,2000,6900,8200,2018-08-17 22:00:00,2018-08-23 04:00:00,NULL,NULL,NULL
33,7,175,243000,1,1200,5300,8300,2018-08-16 17:00:00,2018-08-23 14:00:00,NULL,NULL,NULL
34,8,55,31000,0,375,675,25,2018-07-29 21:00:00,2018-08-04 20:00:00,NULL,NULL,NULL
35,8,111,142000,0,1350,225,1200,2018-07-10 03:00:00,2018-07-15 01:00:00,NULL,NULL,NULL
36,8,150,361000,1,6600,9700,3700,2018-07-14 05:00:00,2018-07-20 02:00:00,NULL,NULL,NULL
37,8,179,283000,0,8500,1200,200,2018-07-29 20:00:00,2018-08-04 19:00:00,NULL,NULL,NULL
38,9,48,579000,0,2600,8100,2900,2018-07-13 11:00:00,2018-07-19 17:00:00,NULL,NULL,NULL
39,9,84,190000,0,4700,5800,4800,2018-08-05 11:00:00,2018-08-10 16:00:00,NULL,NULL,NULL
